(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(24, 0)
(25, 0)
(26, 0)
(27, 0)
(28, 0)
(29, 0)
(30, 0)
(31, 0)
(32, 0)
(33, 0)
(34, 0)
(35, 0)
(36, 0)
(37, 0)
(38, 0)
(39, 0)
(40, 0)
(0, 1)
(40, 1)
(0, 2)
(2, 2)
(3, 2)
(5, 2)
(7, 2)
(8, 2)
(9, 2)
(10, 2)
(11, 2)
(12, 2)
(14, 2)
(15, 2)
(17, 2)
(18, 2)
(19, 2)
(20, 2)
(21, 2)
(23, 2)
(24, 2)
(25, 2)
(26, 2)
(27, 2)
(28, 2)
(30, 2)
(31, 2)
(32, 2)
(33, 2)
(34, 2)
(36, 2)
(38, 2)
(40, 2)
(0, 3)
(5, 3)
(38, 3)
(40, 3)
(0, 4)
(1, 4)
(2, 4)
(3, 4)
(4, 4)
(5, 4)
(19, 4)
(20, 4)
(21, 4)
(22, 4)
(40, 4)
(0, 5)
(22, 5)
(38, 5)
(39, 5)
(40, 5)
(0, 6)
(2, 6)
(3, 6)
(4, 6)
(5, 6)
(22, 6)
(40, 6)
(0, 7)
(2, 7)
(3, 7)
(22, 7)
(38, 7)
(39, 7)
(40, 7)
(0, 8)
(2, 8)
(5, 8)
(9, 8)
(10, 8)
(20, 8)
(21, 8)
(22, 8)
(31, 8)
(40, 8)
(0, 9)
(4, 9)
(5, 9)
(26, 9)
(32, 9)
(38, 9)
(40, 9)
(0, 10)
(2, 10)
(3, 10)
(4, 10)
(5, 10)
(7, 10)
(8, 10)
(9, 10)
(10, 10)
(11, 10)
(12, 10)
(13, 10)
(15, 10)
(17, 10)
(18, 10)
(19, 10)
(20, 10)
(21, 10)
(23, 10)
(25, 10)
(26, 10)
(27, 10)
(28, 10)
(29, 10)
(30, 10)
(32, 10)
(34, 10)
(35, 10)
(36, 10)
(37, 10)
(38, 10)
(40, 10)
(0, 11)
(15, 11)
(23, 11)
(40, 11)
(0, 12)
(1, 12)
(2, 12)
(3, 12)
(4, 12)
(5, 12)
(6, 12)
(7, 12)
(8, 12)
(9, 12)
(10, 12)
(11, 12)
(12, 12)
(13, 12)
(14, 12)
(15, 12)
(16, 12)
(17, 12)
(18, 12)
(19, 12)
(20, 12)
(21, 12)
(22, 12)
(23, 12)
(24, 12)
(25, 12)
(26, 12)
(27, 12)
(28, 12)
(29, 12)
(30, 12)
(31, 12)
(32, 12)
(33, 12)
(34, 12)
(35, 12)
(36, 12)
(37, 12)
(38, 12)
(39, 12)
(40, 12)
(7, 4)
(8, 4)
(9, 4)
(10, 4)
(12, 4)
(13, 4)
(14, 4)
(16, 4)
(17, 4)
(18, 4)
(24, 4)
(25, 4)
(27, 4)
(28, 4)
(30, 4)
(31, 4)
(32, 4)
(34, 4)
(35, 4)
(36, 4)
(10, 5)
(12, 5)
(14, 5)
(16, 5)
(24, 5)
(25, 5)
(26, 5)
(30, 5)
(36, 5)
(7, 6)
(8, 6)
(10, 6)
(12, 6)
(13, 6)
(14, 6)
(16, 6)
(24, 6)
(26, 6)
(28, 6)
(30, 6)
(32, 6)
(34, 6)
(36, 6)
(7, 7)
(12, 7)
(14, 7)
(16, 7)
(24, 7)
(26, 7)
(28, 7)
(30, 7)
(31, 7)
(32, 7)
(34, 7)
(36, 7)
(7, 8)
(12, 8)
(14, 8)
(16, 8)
(17, 8)
(18, 8)
(24, 8)
(28, 8)
(30, 8)
(32, 8)
(34, 8)
(36, 8)
(19, 4)
(19, 8)
